error,image_name,lidar_file_name,detectorType,descriptorType,matcherType,matcherTypeMetric,matcherTypeSelector,ttc_camera,ttc_lidar,detect_time,desc_time,match_time,detect_keypoints_size,match_keypoints_size,match_removed_keypoints_size,bVis,bLimitKpts,maxKeypoints,bVisshow3DObjects
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"","",4,13,0,1864,0,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"-22","12",1,6,28,1898,1729,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"17","12",1,6,25,1865,1771,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"-9223372036854775808","14",1,6,24,1840,1745,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"14","16",1,6,24,1867,1725,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"-11","15",0,6,24,1876,1736,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"77","12",1,6,23,1843,1732,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"0","12",1,6,26,1829,1707,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"11","13",1,6,22,1843,1675,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000009.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000009.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"13","13",1,6,23,1818,1690,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000010.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000010.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"30","11",1,6,24,1879,1665,0,0,0,50,1
0,../images/KITTI/2011_09_26/image_02/data/0000000011.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000011.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,"16","12",1,6,23,1849,1714,0,0,0,50,1
